date,code,side,amount,cost
2025-10-22,600170,sell,60427.592991688005,199.4110568725704
2025-10-22,600015,sell,73643.48393263876,243.0234969777079
2025-10-22,603388,sell,40232.5980642521,132.76757361203192
2025-10-22,603843,sell,96470.16128487009,318.3515322400713
2025-10-22,300591,sell,67230.27441349029,221.85990556451796
2025-10-22,603060,buy,68690.28897763166,157.98766464855282
2025-10-22,300237,buy,68690.28897763166,157.98766464855282
2025-10-22,000056,buy,68690.28897763166,157.98766464855282
2025-10-22,600812,buy,68690.28897763166,157.98766464855282
2025-10-22,300366,buy,68690.28897763166,157.98766464855282
2025-10-22,301209,buy,68690.28897763166,157.98766464855282
2025-10-22,300152,buy,68690.28897763166,157.98766464855282
2025-10-22,002488,buy,68690.28897763166,157.98766464855282
2025-10-22,002575,buy,68690.28897763166,157.98766464855282
2025-10-22,000153,buy,68690.28897763166,157.98766464855282
2025-10-22,000620,buy,68690.28897763166,157.98766464855282
2025-10-22,002231,buy,68690.28897763166,157.98766464855282
2025-10-22,002556,buy,68690.28897763166,157.98766464855282
2025-10-22,000852,buy,68690.28897763166,157.98766464855282
2025-10-22,688189,buy,68690.28897763166,157.98766464855282
2025-10-22,002723,buy,68690.28897763166,157.98766464855282
2025-10-22,300911,buy,68690.28897763166,157.98766464855282
2025-10-22,600035,buy,68690.28897763166,157.98766464855282
2025-10-22,002278,buy,68690.28897763166,157.98766464855282
2025-11-19,000153,sell,68589.2738467822,226.34460369438128
2025-11-19,000620,sell,92731.89011980279,306.0152373953492
2025-11-19,002231,sell,61122.71476823155,201.7049587351641
2025-11-19,603060,sell,66639.83259023968,219.9114475477909
2025-11-19,002556,sell,71527.75358255966,236.04158682244687
2025-11-19,600735,sell,68003.61920770202,224.4119433854167
2025-11-19,000852,sell,52951.8287622,174.74103491526
2025-11-19,300237,sell,83768.64509467276,276.4365288124201
2025-11-19,600812,sell,66775.96944874682,220.36069918086451
2025-11-19,300366,sell,68284.43793492782,225.33864518526178
2025-11-19,002723,sell,63576.86796192704,209.80366427435922
2025-11-19,301209,sell,91715.93195348683,302.66257544650654
2025-11-19,300911,sell,64898.65556808331,214.16556337467492
2025-11-19,600035,sell,67043.03984147738,221.24203147687535
2025-11-19,300152,sell,85627.62050636279,282.57114767099716
2025-11-19,002488,sell,63769.3948703038,210.43900307200252
2025-11-19,002278,sell,57140.594370773244,188.56396142355172
2025-11-19,002575,sell,65018.16661090294,214.5599498159797
2025-11-19,600303,buy,69563.95863312489,159.99710485618724
2025-11-19,688613,buy,69563.95863312489,159.99710485618724
2025-11-19,002420,buy,69563.95863312489,159.99710485618724
2025-11-19,000965,buy,69563.95863312489,159.99710485618724
2025-11-19,002122,buy,69563.95863312489,159.99710485618724
2025-11-19,300400,buy,69563.95863312489,159.99710485618724
2025-11-19,688157,buy,69563.95863312489,159.99710485618724
2025-11-19,301489,buy,69563.95863312489,159.99710485618724
2025-11-19,000926,buy,69563.95863312489,159.99710485618724
2025-11-19,300844,buy,69563.95863312489,159.99710485618724
2025-11-19,688528,buy,69563.95863312489,159.99710485618724
2025-11-19,300100,buy,69563.95863312489,159.99710485618724
2025-11-19,603216,buy,69563.95863312489,159.99710485618724
2025-11-19,600756,buy,69563.95863312489,159.99710485618724
2025-11-19,601933,buy,69563.95863312489,159.99710485618724
2025-11-19,688496,buy,69563.95863312489,159.99710485618724
2025-11-19,002622,buy,69563.95863312489,159.99710485618724
2025-11-19,300391,buy,69563.95863312489,159.99710485618724
2025-12-17,600303,sell,62957.32569031416,207.75917477803674
2025-12-17,301489,sell,76402.87146597546,252.129475837719
2025-12-17,000926,sell,60376.26598346688,199.2416777454407
2025-12-17,300844,sell,61475.12623392434,202.86791657195033
2025-12-17,688528,sell,62890.14756287693,207.53748695749388
2025-12-17,300100,sell,71901.2442591809,237.27410605529695
2025-12-17,000056,sell,58555.6561776532,193.23366538625558
2025-12-17,603216,sell,122981.75634140347,405.83979592663144
2025-12-17,600756,sell,53332.36828539575,175.99681534180598
2025-12-17,688613,sell,66944.67999510508,220.91744398384677
2025-12-17,002420,sell,71107.6803226256,234.6553450646645
2025-12-17,000965,sell,63479.16792526289,209.48125415336753
2025-12-17,688189,sell,66254.46312736101,218.63972832029134
2025-12-17,601933,sell,91365.10356360185,301.5048417598861
2025-12-17,688496,sell,59584.31899799303,196.628252693377
2025-12-17,002622,sell,63647.96215112893,210.03827509872548
2025-12-17,300400,sell,64009.94995982148,211.2328348674109
2025-12-17,688157,sell,80931.84158393143,267.0750772269737
2025-12-17,300460,buy,69509.34415686324,159.87149156078544
2025-12-17,301550,buy,69509.34415686324,159.87149156078544
2025-12-17,300187,buy,69509.34415686324,159.87149156078544
2025-12-17,603815,buy,69509.34415686324,159.87149156078544
2025-12-17,300125,buy,69509.34415686324,159.87149156078544
2025-12-17,603958,buy,69509.34415686324,159.87149156078544
2025-12-17,001331,buy,69509.34415686324,159.87149156078544
2025-12-17,300723,buy,69509.34415686324,159.87149156078544
2025-12-17,300056,buy,69509.34415686324,159.87149156078544
2025-12-17,603322,buy,69509.34415686324,159.87149156078544
2025-12-17,688109,buy,69509.34415686324,159.87149156078544
2025-12-17,300205,buy,69509.34415686324,159.87149156078544
2025-12-17,600165,buy,69509.34415686324,159.87149156078544
2025-12-17,300344,buy,69509.34415686324,159.87149156078544
2025-12-17,603389,buy,69509.34415686324,159.87149156078544
2025-12-17,600530,buy,69509.34415686324,159.87149156078544
2025-12-17,002319,buy,69509.34415686324,159.87149156078544
2025-12-17,600126,buy,69509.34415686324,159.87149156078544
2026-01-16,300125,sell,75559.74797347933,249.34716831248178
2026-01-16,603958,sell,69249.98093239736,228.5249370769113
2026-01-16,001331,sell,145691.63690183446,480.7824017760537
2026-01-16,300056,sell,71020.41685592552,234.3673756245542
2026-01-16,300205,sell,88500.96824343788,292.053195203345
2026-01-16,603389,sell,95291.20933036414,314.46099079020166
2026-01-16,600530,sell,70914.66526734416,234.01839538223572
2026-01-16,002319,sell,79255.36331113243,261.54269892673705
2026-01-16,600126,sell,77074.38161311598,254.34545932328274
2026-01-16,300391,sell,10815.597808683731,35.69147276865631
2026-01-16,300460,sell,72468.98776451556,239.14765962290136
2026-01-16,301550,sell,128759.62400020433,424.9067592006743
2026-01-16,300187,sell,74933.07121633098,247.27913501389224
2026-01-16,603815,sell,72924.80993880736,240.6518727980643
2026-01-16,002122,sell,65723.00386197076,216.8859127445035
2026-01-16,300723,sell,73993.81797343504,244.17959931233563
2026-01-16,603322,sell,69110.16440265405,228.06354252875835
2026-01-16,688109,sell,78247.17576673348,258.2156800302205
2026-01-16,600165,sell,72246.2227482179,238.41253506911906
2026-01-16,000517,buy,78076.04286683456,179.57489859371947
2026-01-16,600058,buy,78076.04286683456,179.57489859371947
2026-01-16,002713,buy,78076.04286683456,179.57489859371947
2026-01-16,300027,buy,78076.04286683456,179.57489859371947
2026-01-16,300111,buy,78076.04286683456,179.57489859371947
2026-01-16,600715,buy,78076.04286683456,179.57489859371947
2026-01-16,605199,buy,78076.04286683456,179.57489859371947
2026-01-16,600403,buy,78076.04286683456,179.57489859371947
2026-01-16,000608,buy,78076.04286683456,179.57489859371947
2026-01-16,000669,buy,78076.04286683456,179.57489859371947
2026-01-16,605580,buy,78076.04286683456,179.57489859371947
2026-01-16,002596,buy,78076.04286683456,179.57489859371947
2026-01-16,300300,buy,78076.04286683456,179.57489859371947
2026-01-16,002629,buy,78076.04286683456,179.57489859371947
2026-01-16,600491,buy,78076.04286683456,179.57489859371947
2026-01-16,603559,buy,78076.04286683456,179.57489859371947
2026-01-16,600576,buy,78076.04286683456,179.57489859371947
2026-01-16,002343,buy,78076.04286683456,179.57489859371947
2026-01-16,300025,buy,78076.04286683456,179.57489859371947
2026-02-13,002596,sell,72463.81145568783,239.13057780376982
2026-02-13,000517,sell,99491.1860531663,328.3209139754488
2026-02-13,600058,sell,72483.36178204713,239.1950938807555
2026-02-13,002713,sell,84212.31924520005,277.9006535091602
2026-02-13,002629,sell,90254.28178887116,297.8391299032748
2026-02-13,300027,sell,67689.7802836318,223.37627493598495
2026-02-13,600491,sell,83442.09392297432,275.35890994581524
2026-02-13,603559,sell,91133.12853398435,300.73932416214836
2026-02-13,600576,sell,76171.74913837519,251.36677215663812
2026-02-13,600715,sell,80537.90007434736,265.7750702453463
2026-02-13,605199,sell,76726.02483455496,253.19588195403136
2026-02-13,002343,sell,76204.71294459351,251.4755527171586
2026-02-13,300025,sell,79995.94556028135,263.98662034892845
2026-02-13,600403,sell,83460.59754730592,275.41997190610954
2026-02-13,000669,sell,109978.08188769173,362.9276702293827
2026-02-13,000608,sell,83943.02874700131,277.0119948651043
2026-02-13,605580,sell,74667.83755146216,246.4038639198251
2026-02-13,001896,buy,82059.9025728538,188.73777591756374
2026-02-13,605033,buy,82059.9025728538,188.73777591756374
2026-02-13,000592,buy,82059.9025728538,188.73777591756374
2026-02-13,600243,buy,82059.9025728538,188.73777591756374
2026-02-13,002702,buy,82059.9025728538,188.73777591756374
2026-02-13,002501,buy,82059.9025728538,188.73777591756374
2026-02-13,000638,buy,82059.9025728538,188.73777591756374
2026-02-13,002175,buy,82059.9025728538,188.73777591756374
2026-02-13,300212,buy,82059.9025728538,188.73777591756374
2026-02-13,600537,buy,82059.9025728538,188.73777591756374
2026-02-13,605188,buy,82059.9025728538,188.73777591756374
2026-02-13,000016,buy,82059.9025728538,188.73777591756374
2026-02-13,000004,buy,82059.9025728538,188.73777591756374
2026-02-13,603718,buy,82059.9025728538,188.73777591756374
2026-02-13,000839,buy,82059.9025728538,188.73777591756374
2026-02-13,688066,buy,82059.9025728538,188.73777591756374
2026-02-13,603885,buy,82059.9025728538,188.73777591756374
2026-03-23,600243,sell,78797.58228708281,260.0320215473733
2026-03-23,300111,sell,65116.69968606902,214.88510896402775
2026-03-23,300212,sell,72971.40614022632,240.80564026274683
2026-03-23,603718,sell,73474.15823927552,242.46472218960923
2026-03-23,002175,sell,81307.05942998361,268.3132961189459
2026-03-23,000839,sell,82538.38596978004,272.3766737002741
2026-03-23,688066,sell,69915.58588774082,230.7214334295447
2026-03-23,603885,sell,63436.37858468838,209.34004932947164
2026-03-23,605033,sell,58253.68480045011,192.23715984148535
2026-03-23,001896,sell,138266.43604000285,456.27923893200943
2026-03-23,000592,sell,76203.84365182674,251.47268405102824
2026-03-23,002702,sell,71050.30565980324,234.4660086773507
2026-03-23,002501,sell,72244.12475313444,238.40561168534364
2026-03-23,300300,sell,82443.46350912734,272.0634295801202
2026-03-23,600537,sell,87578.55099149604,289.00921827193696
2026-03-23,605188,sell,75924.58275432266,250.5511230892648
2026-03-23,000016,sell,66699.97209126836,220.10990790118558
2026-03-23,300344,sell,72452.59087194211,239.09354987740898
2026-03-23,000004,sell,53328.60167203093,175.98438551770207
2026-03-23,002578,buy,75470.86938738321,173.5829995909814
2026-03-23,688210,buy,75470.86938738321,173.5829995909814
2026-03-23,000426,buy,75470.86938738321,173.5829995909814
2026-03-23,300200,buy,75470.86938738321,173.5829995909814
2026-03-23,300258,buy,75470.86938738321,173.5829995909814
2026-03-23,600490,buy,75470.86938738321,173.5829995909814
2026-03-23,688244,buy,75470.86938738321,173.5829995909814
2026-03-23,002160,buy,75470.86938738321,173.5829995909814
2026-03-23,002296,buy,75470.86938738321,173.5829995909814
2026-03-23,000603,buy,75470.86938738321,173.5829995909814
2026-03-23,002492,buy,75470.86938738321,173.5829995909814
2026-03-23,600543,buy,75470.86938738321,173.5829995909814
2026-03-23,603878,buy,75470.86938738321,173.5829995909814
2026-03-23,002548,buy,75470.86938738321,173.5829995909814
2026-03-23,002856,buy,75470.86938738321,173.5829995909814
2026-03-23,000757,buy,75470.86938738321,173.5829995909814
2026-03-23,002726,buy,75470.86938738321,173.5829995909814
2026-03-23,300261,buy,75470.86938738321,173.5829995909814
2026-03-23,600708,buy,75470.86938738321,173.5829995909814
2026-04-21,002578,sell,78919.80696691418,260.4353629908168
2026-04-21,688244,sell,78596.88172887245,259.3697097052791
2026-04-21,000638,sell,40676.244809819764,134.23160787240522
2026-04-21,002296,sell,79370.99591057528,261.9242865048984
2026-04-21,002492,sell,83615.94955350793,275.9326335265762
2026-04-21,600543,sell,77690.60083995332,256.3789827718459
